Neighborhood,Street,City,State,ZIP,Bedrooms,Bathrooms,sq_footage,Lot,housing_style,Brokerage,Description,property_type,Year,price_per_sqft,tax_valuation,Taxes,Land,Additions,,
West Berkeley,10 Chancellor Pl,Berkeley,CA,94705,"7,838 sq ft lot","7,838 sq ft lot","7,838 sq ft lot","7,838",Land,Advanced Financial Group,"FULLY APPROVED AND READY TO BUILD FOR APRIL. PANORAMIC VIEWS OF BAY/CITY/BRIDGES. APPROVED FOR CUSTOM MEDITERRANEAN HOME OF 3122 SF MAIN HOME + 558 SF SEPARATE GUEST SUITE + 651 SF GARAGE. GATED ACCESS. HOME EXISTED ON LOT BEFORE 1991 FIRE, UTILITIES IN STREET.",Land,29 days on realtor.com ® ,Status: Active ,"$594,273","$8,655","$178,282","$415,991",,
West Washington,1209 Santa Fe Ave,Berkeley,CA,94706,3 bd,3 bd,3 bd,3,Single Family Home,Valva Realty Company,"Freshly painted on the interior & exterior. New w/w carpets in 3 bedrooms & hardwood floors in the living/dining combo. Located near the Albany line, many fruit trees in the yard & new cement driveway. See Associated Docs for PAS requirements and WFHM offer submittal info.",Bungalow,Year built: 1951,Price/Sq Ft: $522,"$273,666","$5,442","$77,244","$196,422",,
West Berkeley,728 Talbot Ave,Albany,CA,94706,2 bd,2 bd,2 bd,2,Single Family Home,"Daniel Winkler & Assocs., Inc","Cutie pie! Terrific location, terrific schools, terrific home! Everything functions, kitchen needs updating but works! Very cozy home...functioning fireplace, Hardwood floor, new carpet in back bedroom, new paint. w/d hook ups in home. Come visit",Bungalow,Year built: 1935,Price/Sq Ft: $635,"$31,416","$1,802","$17,136","$14,280",,
Northside,1520 10th St,Berkeley,CA,94710,2 bd,2 bd,2 bd,2,Single Family Home,Coldwell Banker Bartels,"Opportunity knocks!! Use your imagination to transform this cozy 2 bedroom, one bath home with bonus room that is currently being used as a 3rd bedroom. Deep lot with workshop in back. Close to fourth street shopping and restaurants.",Cottage,Year built: 1920,Price/Sq Ft: $732,"$327,261","$4,969","$98,178","$229,083",,
North Hills,1767 Euclid Ave Apt 3,Berkeley,CA,94709,1 bd,1 bd,1 bd,1,Condo/Townhome/Row Home/Co-Op,Bhg Mason-Mcduffie Real Estate,"Charming and light North Berkeley condo. Features include, hardwood floors, french doors, eat in kitchen, washer/ dryer in unit, freshly painted interior, balcony space and more. Ideally located 1.5 blocks to campus.",Traditional,Year built: 1924,Price/Sq Ft: Price Unavailable,"$1,886,258","$26,865","$565,877","$1,320,381",,
North Hills,7126 Buckingham Blvd,Berkeley,CA,94705,"5,475 sq ft lot","5,475 sq ft lot","5,475 sq ft lot","5,475",Land,Bhg Mason Mcduffie Real Estate,Easy access to San Francisco and Walnut Creek. Water meter has been installed.,Land,Price/Sq Ft: Price Unavailable,35 days on realtor.com ® ,"$137,146","$2,778","$137,146",N/A,,
East Shore,555 Pierce St Apt 145,Albany,CA,94706,2 bd,2 bd,2 bd,2,Condo/Townhome/Row Home/Co-Op,Bhg Highland Partners,"Berkeley's premier address, close to Round Park, Claremont Spa & tennis. Claremont and Elmwood shops, local transportation, and BART. Three sunny bedrooms and 2BA, updated kitchen, family room opens to lovely private rear garden.",Colonial,Year built: 1926,Price/Sq Ft: $847,"$2,549,950","$34,428","$764,985","$1,784,965",,
North Hills,115 Parkside Dr,Berkeley,CA,94705,3 bd,3 bd,3 bd,3,Single Family Home,The Grubb Co. Inc.,Own a piece of Berkeley history in landmark-designated Greenwood Common. This mid-century gem maintains many original details with upgraded systems. Sub-Zero fridge. Detached office. Convenient entrances from street and greenbelt. Panoramic view from common. A/C.,Style: Custom ,Year built: 1952,Price/Sq Ft: $715,"$445,721","$7,190","$312,361","$133,360",,
Berkeley Hills,8 Greenwood Cmn,Berkeley,CA,94708,2 bd,2 bd,2 bd,2,Single Family Home,Bhg Mason-Mcduffie Real Estate,"



 Key Facts
 Style: Duplex
 Multi-family home
 Year built: 1934
 Price/Sq Ft: $324
 37 days on realtor.com ®
 Status: Pending


 Schools
 8Willard Middle School
 8Berkeley High School ",Style: Duplex ,Year built: 1934,Price/Sq Ft: $324,0,0,0,0,,
North Berkeley,1635 Walnut St,Berkeley,CA,94709,4 bd,4 bd,4 bd,4,Multi-Family Home,"Lapham Company, Inc.","Located just 3 minutes away from Ashby BART station. Convenient multi-family complex w/two separate 2 story duplexes with one unit on each floor. Each of the spacious 2 bedroom, 1 bath units include a comfortable living room area equipped w/granite counter tops, dual pane winds. Open Sat. 1:00-3:00, This 4-unit complex boasts 3,200 Sq.Ft of living space and features upgraded Kitchens, Bathrooms, Windows, Flooring in all units.",Style: Fourplex ,Year built: 1950,Price/Sq Ft: $309,"$637,867","$14,239","$191,360","$446,507",,
West Berkeley,2925 Stanton St,Berkeley,CA,94702,8 bd,8 bd,8 bd,8,Multi-Family Home,"Ehomesurf, Inc.","Vacant lot at downtown Berkeley close to Police Department and Berkeley High School. Minutes to BART, shops and restaurants. Land zoned for residential. Rough drawing for new construction of single family home from Architect is available upon request.",Land,38 days on realtor.com ® ,Status: Active ,"$111,474","$1,525","$111,474",N/A,,
Central Berkeley,1872 Allston Way,Berkeley,CA,94703,"3,700 sq ft lot","3,700 sq ft lot","3,700 sq ft lot","3,700",Land,Marvin Gardens East Bay,"San Pablo Park LEGAL DUPLEX currently being used as a 3 bedroom, 2 bathroom single residence. Minutes to Dining, Shops, Café’s, Parks, BART, Bay Bridge, Emeryville, Downtown / Uptown Oakland, San Francisco and UC Berkeley!",Single family home,Price/Sq Ft: $502,42 days on realtor.com ® ,"$183,170","$4,451","$55,568","$127,602",,
West Berkeley,2824 Wallace St,Berkeley,CA,94702,3 bd,3 bd,3 bd,3,Single Family Home,Bhg Mason Mcduffie Real Estate,"Must See Expansive Duplex on large Lot! Well kept property with great curb appeal. Each unit features 2 bedrooms 1 bath & laundry hookups. Long driveway with large back yard. Walking distance to shops, eateries, Amtrak, Google bus at North Berk Bart, 4th St shopping, and grab bus or walk to campus.",Style: Duplex ,Year built: 1918,Price/Sq Ft: $426,"$562,515","$10,003","$168,754","$393,761",,
West Berkeley,2015 8th St,Berkeley,CA,94710,4 bd,4 bd,4 bd,4,Multi-Family Home,Better Homes Realty/Mcarthr,".Real Estate plus Business opportunity. Currently being used as a Care facility. Has total of 12 beds ( 2 beds on basement level for employees) 4 baths, rec. area, dining room & laundry area. In prime Berkeley location.",Multi-family home,Price/Sq Ft: $373,43 days on realtor.com ® ,0,0,0,0,,
